Date,Mode,Value
1/06/2019,Regional bus,1084632
1/07/2019,Regional bus,1083306
1/08/2019,Regional bus,1275349
1/09/2019,Regional bus,1089826
1/10/2019,Regional bus,1212228
1/11/2019,Regional bus,1126220
1/12/2019,Regional bus,873469
1/01/2020,Regional bus,764361
1/02/2020,Regional bus,1276038
1/03/2020,Regional bus,947946
1/04/2020,Regional bus,227342
1/05/2020,Regional bus,368116
1/06/2020,Regional bus,763812
1/07/2020,Regional bus,769837
1/08/2020,Regional bus,343285
1/09/2020,Regional bus,380397
1/10/2020,Regional bus,848872
1/11/2020,Regional bus,911034
1/12/2020,Regional bus,666297
1/01/2021,Regional bus,484867
1/02/2021,Regional bus,797454
1/03/2021,Regional bus,1009127
1/04/2021,Regional bus,697503
1/05/2021,Regional bus,811685
1/06/2021,Regional bus,693393
1/07/2021,Regional bus,599227
1/08/2021,Regional bus,707880
1/09/2021,Regional bus,451102
1/10/2021,Regional bus,656824
1/11/2021,Regional bus,855704
1/12/2021,Regional bus,688849
1/01/2022,Regional bus,549859
1/02/2022,Regional bus,985731
1/03/2022,Regional bus,1060923
1/04/2022,Regional bus,838558
1/05/2022,Regional bus,1121794
1/06/2022,Regional bus,926422
1/07/2022,Regional bus,975473
1/08/2022,Regional bus,1098964
1/09/2022,Regional bus,858200
1/10/2022,Regional bus,1159113
1/11/2022,Regional bus,1035487
1/12/2022,Regional bus,863993
1/01/2023,Regional bus,820221
1/02/2023,Regional bus,1096006
1/03/2023,Regional bus,1247122
1/04/2023,Regional bus,938444
1/05/2023,Regional bus,1222849
1/06/2023,Regional bus,1049480
1/07/2023,Regional bus,1148259
1/08/2023,Regional bus,1255113
1/09/2023,Regional bus,1103635
1/10/2023,Regional bus,1242909
1/11/2023,Regional bus,1190730
1/12/2023,Regional bus,1009701
1/01/2024,Regional bus,841044
1/02/2024,Regional bus,1115173
1/03/2024,Regional bus,1116628
1/04/2024,Regional bus,1056862
1/05/2024,Regional bus,1247979
1/06/2024,Regional bus,994915
1/07/2024,Regional bus,1068435
1/08/2024,Regional bus,1183307
1/09/2024,Regional bus,1027230
1/10/2024,Regional bus,1193762
1/11/2024,Regional bus,940930
1/12/2024,Regional bus,921439
1/01/2025,Regional bus,782149
1/02/2025,Regional bus,1025310
1/03/2025,Regional bus,1147175
1/04/2025,Regional bus,961133
1/05/2025,Regional bus,1110728
1/06/2025,Regional bus,962106
